Query ID,Node Type,Filters,Execution Time
147,Index Scan,"(b,300),(a,2)",0.004
148,Index Scan,"(b,400),(a,2)",0.003
149,Index Scan,"(b,500),(a,2)",0.003
150,Index Scan,"(b,600),(a,2)",0.003
151,Index Scan,"(b,700),(a,2)",0.004
152,Index Scan,"(b,800),(a,2)",0.003
153,Index Scan,"(b,900),(a,2)",0.003
154,Index Scan,"(b,1000),(a,2)",0.003
155,Index Scan,"(b,1100),(a,2)",0.003
156,Index Scan,"(b,1200),(a,2)",0.003
157,Index Scan,"(b,1300),(a,2)",0.003
158,Index Scan,"(b,1400),(a,2)",0.017
159,Index Scan,"(b,1500),(a,2)",0.005
160,Index Scan,"(b,1600),(a,2)",0.005
161,Index Scan,"(b,1700),(a,2)",0.003
162,Index Scan,"(b,1800),(a,2)",0.003
163,Index Scan,"(b,1900),(a,2)",0.004
164,Index Scan,"(b,2000),(a,2)",0.004
165,Index Scan,"(b,2100),(a,2)",0.003
166,Index Scan,"(b,2200),(a,2)",0.003
167,Index Scan,"(b,2300),(a,2)",0.003
168,Index Scan,"(b,2400),(a,2)",0.003
169,Index Scan,"(b,2500),(a,2)",0.003
170,Index Scan,"(b,2600),(a,2)",0.003
171,Index Scan,"(b,2700),(a,2)",0.006
172,Index Scan,"(b,2800),(a,2)",0.004
173,Index Scan,"(b,2900),(a,2)",0.004
174,Index Scan,"(b,3000),(a,2)",0.008
175,Index Scan,"(b,3100),(a,2)",0.007
176,Index Scan,"(b,3200),(a,2)",0.004
177,Index Scan,"(b,3300),(a,2)",0.004
178,Index Scan,"(b,3400),(a,2)",0.004
179,Index Scan,"(b,3500),(a,2)",0.004
180,Index Scan,"(b,3600),(a,2)",0.004
181,Index Scan,"(b,3700),(a,2)",0.003
182,Index Scan,"(b,3800),(a,2)",0.008
183,Index Scan,"(b,3900),(a,2)",0.004
184,Index Scan,"(b,4000),(a,2)",0.004
185,Index Scan,"(b,4100),(a,2)",0.003
186,Index Scan,"(b,4200),(a,2)",0.003
187,Index Scan,"(b,4300),(a,2)",0.003
188,Index Scan,"(b,4400),(a,2)",0.003
189,Index Scan,"(b,4500),(a,2)",0.003
190,Index Scan,"(b,4600),(a,2)",0.003
191,Index Scan,"(b,4700),(a,2)",0.003
192,Index Scan,"(b,4800),(a,2)",0.003
193,Index Scan,"(b,4900),(a,2)",0.004
194,Index Scan,"(b,5000),(a,2)",0.003
195,Index Scan,"(b,5100),(a,2)",0.003
196,Index Scan,"(b,5200),(a,2)",0.003
197,Index Scan,"(b,5300),(a,2)",0.003
198,Index Scan,"(b,5400),(a,2)",0.003
199,Index Scan,"(b,5500),(a,2)",0.003
200,Index Scan,"(b,5600),(a,2)",0.003
201,Index Scan,"(b,5700),(a,2)",0.003
202,Index Scan,"(b,5800),(a,2)",0.003
203,Index Scan,"(b,5900),(a,2)",0.003
204,Index Scan,"(b,6000),(a,2)",0.003
205,Index Scan,"(b,6100),(a,2)",0.003
206,Index Scan,"(b,6200),(a,2)",0.003
207,Index Scan,"(b,6300),(a,2)",0.003
208,Index Scan,"(b,6400),(a,2)",0.003
209,Index Scan,"(b,6500),(a,2)",0.004
210,Index Scan,"(b,6600),(a,2)",0.003
211,Index Scan,"(b,6700),(a,2)",0.003
212,Index Scan,"(b,6800),(a,2)",0.003
213,Index Scan,"(b,6900),(a,2)",0.003
214,Index Scan,"(b,7000),(a,2)",0.004
215,Index Scan,"(b,7100),(a,2)",0.003
216,Index Scan,"(b,7200),(a,2)",0.003
217,Index Scan,"(b,7300),(a,2)",0.004
218,Index Scan,"(b,7400),(a,2)",0.004
219,Index Scan,"(b,7500),(a,2)",0.003
220,Index Scan,"(b,7600),(a,2)",0.003
221,Index Scan,"(b,7700),(a,2)",0.003
222,Index Scan,"(b,7800),(a,2)",0.003
223,Index Scan,"(b,7900),(a,2)",0.004
224,Index Scan,"(b,8000),(a,2)",0.003
225,Index Scan,"(b,8100),(a,2)",0.006
226,Index Scan,"(b,8200),(a,2)",0.004
227,Index Scan,"(b,8300),(a,2)",0.004
228,Index Scan,"(b,8400),(a,2)",0.003
229,Index Scan,"(b,8500),(a,2)",0.004
230,Index Scan,"(b,8600),(a,2)",0.004
231,Index Scan,"(b,8700),(a,2)",0.004
232,Index Scan,"(b,8800),(a,2)",0.003
233,Index Scan,"(b,8900),(a,2)",0.003
234,Index Scan,"(b,9000),(a,2)",0.003
235,Index Scan,"(b,9100),(a,2)",0.003
236,Index Scan,"(b,9200),(a,2)",0.004
237,Index Scan,"(b,9300),(a,2)",0.004
238,Index Scan,"(b,9400),(a,2)",0.004
239,Index Scan,"(b,9500),(a,2)",0.003
240,Index Scan,"(b,9600),(a,2)",0.003
241,Index Scan,"(b,9700),(a,2)",0.003
242,Index Scan,"(b,9800),(a,2)",0.004
243,Index Scan,"(b,9900),(a,2)",0.006
244,Index Scan,"(b,10000),(a,2)",0.011
245,Index Scan,"(b,10100),(a,2)",0.005
246,Index Scan,"(b,10200),(a,2)",0.004
247,Index Scan,"(b,10300),(a,2)",0.004
248,Index Scan,"(b,10400),(a,2)",0.004
249,Index Scan,"(b,10500),(a,2)",0.003
250,Index Scan,"(b,10600),(a,2)",0.003
251,Index Scan,"(b,10700),(a,2)",0.004
252,Index Scan,"(b,10800),(a,2)",0.003
253,Index Scan,"(b,10900),(a,2)",0.003
254,Index Scan,"(b,11000),(a,2)",0.003
255,Index Scan,"(b,11100),(a,2)",0.003
256,Index Scan,"(b,11200),(a,2)",0.004
257,Index Scan,"(b,11300),(a,2)",0.004
258,Index Scan,"(b,11400),(a,2)",0.003
259,Index Scan,"(b,11500),(a,2)",0.003
260,Index Scan,"(b,11600),(a,2)",0.003
261,Index Scan,"(b,11700),(a,2)",0.003
262,Index Scan,"(b,11800),(a,2)",0.003
263,Index Scan,"(b,11900),(a,2)",0.003
264,Index Scan,"(b,12000),(a,2)",0.003
265,Index Scan,"(b,12100),(a,2)",0.003
266,Index Scan,"(b,12200),(a,2)",0.003
267,Index Scan,"(b,12300),(a,2)",0.004
268,Index Scan,"(b,12400),(a,2)",0.003
269,Index Scan,"(b,12500),(a,2)",0.003
270,Index Scan,"(b,12600),(a,2)",0.003
271,Index Scan,"(b,12700),(a,2)",0.003
272,Index Scan,"(b,12800),(a,2)",0.003
273,Index Scan,"(b,12900),(a,2)",0.004
274,Index Scan,"(b,13000),(a,2)",0.003
275,Index Scan,"(b,13100),(a,2)",0.003
276,Index Scan,"(b,13200),(a,2)",0.008
277,Index Scan,"(b,13300),(a,2)",0.006
278,Index Scan,"(b,13400),(a,2)",0.003
279,Index Scan,"(b,13500),(a,2)",0.003
280,Index Scan,"(b,13600),(a,2)",0.004
281,Index Scan,"(b,13700),(a,2)",0.003
282,Index Scan,"(b,13800),(a,2)",0.003
283,Index Scan,"(b,13900),(a,2)",0.003
284,Index Scan,"(b,14000),(a,2)",0.003
285,Index Scan,"(b,14100),(a,2)",0.003
286,Index Scan,"(b,14200),(a,2)",0.003
287,Index Scan,"(b,14300),(a,2)",0.003
288,Index Scan,"(b,14400),(a,2)",0.004
289,Index Scan,"(b,100),(a,3)",0.032
290,Index Scan,"(b,200),(a,3)",0.005
291,Index Scan,"(b,300),(a,3)",0.004
292,Index Scan,"(b,400),(a,3)",0.004
293,Index Scan,"(b,500),(a,3)",0.004
294,Index Scan,"(b,600),(a,3)",0.004
295,Index Scan,"(b,700),(a,3)",0.005
296,Index Scan,"(b,800),(a,3)",0.013
297,Index Scan,"(b,900),(a,3)",0.007
298,Index Scan,"(b,1000),(a,3)",0.004
299,Index Scan,"(b,1100),(a,3)",0.005
300,Index Scan,"(b,1200),(a,3)",0.005
301,Index Scan,"(b,1300),(a,3)",0.004
302,Index Scan,"(b,1400),(a,3)",0.004
303,Index Scan,"(b,1500),(a,3)",0.005
304,Index Scan,"(b,1600),(a,3)",0.004
305,Index Scan,"(b,1700),(a,3)",0.004
306,Index Scan,"(b,1800),(a,3)",0.004
307,Index Scan,"(b,1900),(a,3)",0.004
308,Index Scan,"(b,2000),(a,3)",0.005
309,Index Scan,"(b,2100),(a,3)",0.004
310,Index Scan,"(b,2200),(a,3)",0.004
311,Index Scan,"(b,2300),(a,3)",0.004
312,Index Scan,"(b,2400),(a,3)",0.004
313,Index Scan,"(b,2500),(a,3)",0.005
314,Index Scan,"(b,2600),(a,3)",0.005
315,Index Scan,"(b,2700),(a,3)",0.005
316,Index Scan,"(b,2800),(a,3)",0.004
317,Index Scan,"(b,2900),(a,3)",0.005
318,Index Scan,"(b,3000),(a,3)",0.004
319,Index Scan,"(b,3100),(a,3)",0.004
320,Index Scan,"(b,3200),(a,3)",0.004
321,Index Scan,"(b,3300),(a,3)",0.004
322,Index Scan,"(b,3400),(a,3)",0.004
323,Index Scan,"(b,3500),(a,3)",0.005
324,Index Scan,"(b,3600),(a,3)",0.004
325,Index Scan,"(b,3700),(a,3)",0.004
326,Index Scan,"(b,3800),(a,3)",0.004
327,Index Scan,"(b,3900),(a,3)",0.004
328,Index Scan,"(b,4000),(a,3)",0.004
329,Index Scan,"(b,4100),(a,3)",0.004
330,Index Scan,"(b,4200),(a,3)",0.004
331,Index Scan,"(b,4300),(a,3)",0.003
332,Index Scan,"(b,4400),(a,3)",0.005
333,Index Scan,"(b,4500),(a,3)",0.004
334,Index Scan,"(b,4600),(a,3)",0.004
335,Index Scan,"(b,4700),(a,3)",0.004
336,Index Scan,"(b,4800),(a,3)",0.013
337,Index Scan,"(b,4900),(a,3)",0.007
338,Index Scan,"(b,5000),(a,3)",0.004
339,Index Scan,"(b,5100),(a,3)",0.004
340,Index Scan,"(b,5200),(a,3)",0.005
341,Index Scan,"(b,5300),(a,3)",0.004
342,Index Scan,"(b,5400),(a,3)",0.004
343,Index Scan,"(b,5500),(a,3)",0.004
344,Index Scan,"(b,5600),(a,3)",0.004
345,Index Scan,"(b,5700),(a,3)",0.004
346,Index Scan,"(b,5800),(a,3)",0.004
347,Index Scan,"(b,5900),(a,3)",0.004
348,Index Scan,"(b,6000),(a,3)",0.004
349,Index Scan,"(b,6100),(a,3)",0.004
350,Index Scan,"(b,6200),(a,3)",0.005
351,Index Scan,"(b,6300),(a,3)",0.004
352,Index Scan,"(b,6400),(a,3)",0.004
353,Index Scan,"(b,6500),(a,3)",0.004
354,Index Scan,"(b,6600),(a,3)",0.004
355,Index Scan,"(b,6700),(a,3)",0.005
356,Index Scan,"(b,6800),(a,3)",0.004
357,Index Scan,"(b,6900),(a,3)",0.004
358,Index Scan,"(b,7000),(a,3)",0.004
359,Index Scan,"(b,7100),(a,3)",0.005
360,Index Scan,"(b,7200),(a,3)",0.004
361,Index Scan,"(b,7300),(a,3)",0.004
362,Index Scan,"(b,7400),(a,3)",0.004
363,Index Scan,"(b,7500),(a,3)",0.004
364,Index Scan,"(b,7600),(a,3)",0.004
365,Index Scan,"(b,7700),(a,3)",0.004
366,Index Scan,"(b,7800),(a,3)",0.004
367,Index Scan,"(b,7900),(a,3)",0.004
368,Index Scan,"(b,8000),(a,3)",0.004
369,Index Scan,"(b,8100),(a,3)",0.004
370,Index Scan,"(b,8200),(a,3)",0.004
371,Index Scan,"(b,8300),(a,3)",0.004
372,Index Scan,"(b,8400),(a,3)",0.004
373,Index Scan,"(b,8500),(a,3)",0.004
374,Index Scan,"(b,8600),(a,3)",0.004
375,Index Scan,"(b,8700),(a,3)",0.004
376,Index Scan,"(b,8800),(a,3)",0.004
377,Index Scan,"(b,8900),(a,3)",0.004
378,Index Scan,"(b,9000),(a,3)",0.004
379,Index Scan,"(b,9100),(a,3)",0.004
380,Index Scan,"(b,9200),(a,3)",0.004
381,Index Scan,"(b,9300),(a,3)",0.004
382,Index Scan,"(b,9400),(a,3)",0.004
383,Index Scan,"(b,9500),(a,3)",0.004
384,Index Scan,"(b,9600),(a,3)",0.005
385,Index Scan,"(b,9700),(a,3)",0.004
386,Index Scan,"(b,9800),(a,3)",0.004
387,Index Scan,"(b,9900),(a,3)",0.004
388,Index Scan,"(b,10000),(a,3)",0.004
389,Index Scan,"(b,10100),(a,3)",0.004
390,Index Scan,"(b,10200),(a,3)",0.004
391,Index Scan,"(b,10300),(a,3)",0.004
392,Index Scan,"(b,10400),(a,3)",0.004
393,Index Scan,"(b,10500),(a,3)",0.004
394,Index Scan,"(b,10600),(a,3)",0.004
395,Index Scan,"(b,10700),(a,3)",0.004
396,Index Scan,"(b,10800),(a,3)",0.013
397,Index Scan,"(b,10900),(a,3)",0.004
398,Index Scan,"(b,11000),(a,3)",0.004
399,Index Scan,"(b,11100),(a,3)",0.008
400,Index Scan,"(b,11200),(a,3)",0.004
401,Index Scan,"(b,11300),(a,3)",0.004
402,Index Scan,"(b,11400),(a,3)",0.013
403,Index Scan,"(b,11500),(a,3)",0.004
404,Index Scan,"(b,11600),(a,3)",0.004
405,Index Scan,"(b,11700),(a,3)",0.004
406,Index Scan,"(b,11800),(a,3)",0.004
407,Index Scan,"(b,11900),(a,3)",0.004
408,Index Scan,"(b,12000),(a,3)",0.004
409,Index Scan,"(b,12100),(a,3)",0.004
410,Index Scan,"(b,12200),(a,3)",0.004
411,Index Scan,"(b,12300),(a,3)",0.004
412,Index Scan,"(b,12400),(a,3)",0.003
413,Index Scan,"(b,12500),(a,3)",0.004
414,Index Scan,"(b,12600),(a,3)",0.004
415,Index Scan,"(b,12700),(a,3)",0.007
416,Index Scan,"(b,12800),(a,3)",0.008
417,Index Scan,"(b,12900),(a,3)",0.004
418,Index Scan,"(b,13000),(a,3)",0.005
419,Index Scan,"(b,13100),(a,3)",0.008
420,Index Scan,"(b,13200),(a,3)",0.004
421,Index Scan,"(b,13300),(a,3)",0.016
422,Index Scan,"(b,13400),(a,3)",0.004
423,Index Scan,"(b,13500),(a,3)",0.004
424,Index Scan,"(b,13600),(a,3)",0.003
425,Index Scan,"(b,13700),(a,3)",0.005
426,Index Scan,"(b,13800),(a,3)",0.004
427,Index Scan,"(b,13900),(a,3)",0.004
428,Index Scan,"(b,14000),(a,3)",0.004
429,Index Scan,"(b,14100),(a,3)",0.004
430,Index Scan,"(b,14200),(a,3)",0.004
431,Index Scan,"(b,14300),(a,3)",0.003
432,Index Scan,"(b,14400),(a,3)",0.004
433,Index Scan,"(b,100),(a,4)",0.068
434,Index Scan,"(b,200),(a,4)",0.005
435,Index Scan,"(b,300),(a,4)",0.005
436,Index Scan,"(b,400),(a,4)",0.006
437,Index Scan,"(b,500),(a,4)",0.006
438,Index Scan,"(b,600),(a,4)",0.005
439,Index Scan,"(b,700),(a,4)",0.005
440,Index Scan,"(b,800),(a,4)",0.005
441,Index Scan,"(b,900),(a,4)",0.006
442,Index Scan,"(b,1000),(a,4)",0.005
443,Index Scan,"(b,1100),(a,4)",0.005
444,Index Scan,"(b,1200),(a,4)",0.005
445,Index Scan,"(b,1300),(a,4)",0.005
446,Index Scan,"(b,1400),(a,4)",0.005
447,Index Scan,"(b,1500),(a,4)",0.005
448,Index Scan,"(b,1600),(a,4)",0.006
449,Index Scan,"(b,1700),(a,4)",0.005
450,Index Scan,"(b,1800),(a,4)",0.005
451,Index Scan,"(b,1900),(a,4)",0.005
452,Index Scan,"(b,2000),(a,4)",0.006
453,Index Scan,"(b,2100),(a,4)",0.005
454,Index Scan,"(b,2200),(a,4)",0.006
455,Index Scan,"(b,2300),(a,4)",0.005
456,Index Scan,"(b,2400),(a,4)",0.005
457,Index Scan,"(b,2500),(a,4)",0.005
458,Index Scan,"(b,2600),(a,4)",0.005
459,Index Scan,"(b,2700),(a,4)",0.005
460,Index Scan,"(b,2800),(a,4)",0.005
461,Index Scan,"(b,2900),(a,4)",0.005
462,Index Scan,"(b,3000),(a,4)",0.005
463,Index Scan,"(b,3100),(a,4)",0.005
464,Index Scan,"(b,3200),(a,4)",0.005
465,Index Scan,"(b,3300),(a,4)",0.005
466,Index Scan,"(b,3400),(a,4)",0.005
467,Index Scan,"(b,3500),(a,4)",0.005
468,Index Scan,"(b,3600),(a,4)",0.005
469,Index Scan,"(b,3700),(a,4)",0.005
470,Index Scan,"(b,3800),(a,4)",0.005
471,Index Scan,"(b,3900),(a,4)",0.005
472,Index Scan,"(b,4000),(a,4)",0.005
473,Index Scan,"(b,4100),(a,4)",0.005
474,Index Scan,"(b,4200),(a,4)",0.005
475,Index Scan,"(b,4300),(a,4)",0.005
476,Index Scan,"(b,4400),(a,4)",0.005
477,Index Scan,"(b,4500),(a,4)",0.005
478,Index Scan,"(b,4600),(a,4)",0.005
479,Index Scan,"(b,4700),(a,4)",0.005
480,Index Scan,"(b,4800),(a,4)",0.005
481,Index Scan,"(b,4900),(a,4)",0.005
482,Index Scan,"(b,5000),(a,4)",0.005
483,Index Scan,"(b,5100),(a,4)",0.005
484,Index Scan,"(b,5200),(a,4)",0.005
485,Index Scan,"(b,5300),(a,4)",0.005
486,Index Scan,"(b,5400),(a,4)",0.005
487,Index Scan,"(b,5500),(a,4)",0.007
488,Index Scan,"(b,5600),(a,4)",0.006
489,Index Scan,"(b,5700),(a,4)",0.005
490,Index Scan,"(b,5800),(a,4)",0.006
491,Index Scan,"(b,5900),(a,4)",0.008
492,Index Scan,"(b,6000),(a,4)",0.005
493,Index Scan,"(b,6100),(a,4)",0.005
494,Index Scan,"(b,6200),(a,4)",0.005
495,Index Scan,"(b,6300),(a,4)",0.005
496,Index Scan,"(b,6400),(a,4)",0.005
497,Index Scan,"(b,6500),(a,4)",0.005
498,Index Scan,"(b,6600),(a,4)",0.005
499,Index Scan,"(b,6700),(a,4)",0.005
500,Index Scan,"(b,6800),(a,4)",0.005
501,Index Scan,"(b,6900),(a,4)",0.005
502,Index Scan,"(b,7000),(a,4)",0.005
503,Index Scan,"(b,7100),(a,4)",0.006
504,Index Scan,"(b,7200),(a,4)",0.005
505,Index Scan,"(b,7300),(a,4)",0.005
506,Index Scan,"(b,7400),(a,4)",0.005
507,Index Scan,"(b,7500),(a,4)",0.005
508,Index Scan,"(b,7600),(a,4)",0.005
509,Index Scan,"(b,7700),(a,4)",0.005
510,Index Scan,"(b,7800),(a,4)",0.005
511,Index Scan,"(b,7900),(a,4)",0.005
512,Index Scan,"(b,8000),(a,4)",0.005
513,Index Scan,"(b,8100),(a,4)",0.005
514,Index Scan,"(b,8200),(a,4)",0.005
515,Index Scan,"(b,8300),(a,4)",0.005
516,Index Scan,"(b,8400),(a,4)",0.005
517,Index Scan,"(b,8500),(a,4)",0.005
518,Index Scan,"(b,8600),(a,4)",0.005
519,Index Scan,"(b,8700),(a,4)",0.005
520,Index Scan,"(b,8800),(a,4)",0.005
521,Index Scan,"(b,8900),(a,4)",0.005
522,Index Scan,"(b,9000),(a,4)",0.005
523,Index Scan,"(b,9100),(a,4)",0.005
524,Index Scan,"(b,9200),(a,4)",0.005
525,Index Scan,"(b,9300),(a,4)",0.005
526,Index Scan,"(b,9400),(a,4)",0.005
527,Index Scan,"(b,9500),(a,4)",0.005
528,Index Scan,"(b,9600),(a,4)",0.005
529,Index Scan,"(b,9700),(a,4)",0.005
530,Index Scan,"(b,9800),(a,4)",0.005
531,Index Scan,"(b,9900),(a,4)",0.005
532,Index Scan,"(b,10000),(a,4)",0.005
533,Index Scan,"(b,10100),(a,4)",0.005
534,Index Scan,"(b,10200),(a,4)",0.005
535,Index Scan,"(b,10300),(a,4)",0.005
536,Index Scan,"(b,10400),(a,4)",0.005
537,Index Scan,"(b,10500),(a,4)",0.005
538,Index Scan,"(b,10600),(a,4)",0.005
539,Index Scan,"(b,10700),(a,4)",0.005
540,Index Scan,"(b,10800),(a,4)",0.005
541,Index Scan,"(b,10900),(a,4)",0.005
542,Index Scan,"(b,11000),(a,4)",0.005
543,Index Scan,"(b,11100),(a,4)",0.005
544,Index Scan,"(b,11200),(a,4)",0.005
545,Index Scan,"(b,11300),(a,4)",0.006
546,Index Scan,"(b,11400),(a,4)",0.005
547,Index Scan,"(b,11500),(a,4)",0.005
548,Index Scan,"(b,11600),(a,4)",0.005
549,Index Scan,"(b,11700),(a,4)",0.005
550,Index Scan,"(b,11800),(a,4)",0.005
551,Index Scan,"(b,11900),(a,4)",0.005
552,Index Scan,"(b,12000),(a,4)",0.005
553,Index Scan,"(b,12100),(a,4)",0.006
554,Index Scan,"(b,12200),(a,4)",0.005
555,Index Scan,"(b,12300),(a,4)",0.005
556,Index Scan,"(b,12400),(a,4)",0.005
557,Index Scan,"(b,12500),(a,4)",0.005
558,Index Scan,"(b,12600),(a,4)",0.005
559,Index Scan,"(b,12700),(a,4)",0.005
